composition,dmax,source,tg_exp,tg_md_count,tg_md_mean,tg_md_sem,tg_md_std,tl,tstar_count,tstar_mean,tstar_sem,tstar_std,tg_md_mean/tl,tg_exp/tl,tg_md_mean/tstar_mean,tg_exp/tstar_mean,tg_md_mean/tl_err,tg_md_mean/tstar_mean_err,tg_exp/tstar_mean_err,m_md,m_exp
Ni4P,0.12,johnson,581.0,5,617.2202661126114,26.68408891846262,59.66743673933127,1161.0,5,723.978397839784,6.15221224963963,13.756764802201118,0.5316281361865731,0.5004306632213609,0.8525396171408998,0.8025101325310192,0.022983711385411387,0.03756283487910568,0.004517661219532579,88.201239199939,81.20542026577073
Zr5AlCu4,22.0,johnson,706.0,5,836.1007979477948,9.285194187899863,20.762325388430053,1123.0,5,980.3960396039604,6.0593123938434745,13.54903440954099,0.7445243080568075,0.628673196794301,0.8528194364040322,0.7201171480508988,0.008268204975868089,0.010838765281160184,0.0046015132508580225,88.24036742431372,69.68408628914965
ZrCu,2.5,johnson,673.0,5,725.4319150875089,16.993080165063752,37.9976823961859,1208.0,5,895.1155115511552,5.9910553485934805,13.396407016418722,0.6005231085161498,0.5571192052980133,0.8104338554366018,0.7518582700390826,0.014067119341940193,0.019743956669423992,0.004019332851237325,82.31342549836971,74.12257179281254
Nb2Ni3,1.0,inoue,891.0,5,1117.8885125932593,20.074572974580832,44.8881097904429,1478.0,5,1300.4640464046406,6.380395558458879,14.266998192051787,0.7563521736084299,0.6028416779431665,0.8596073960551672,0.6851400486336586,0.013582255057226544,0.016002231592238767,0.003710849263740725,89.18955442917847,64.7931013774824
Zr25Cu24Ag,2.0,inoue,668.0,4,725.9079544254428,13.493809117277404,26.98761823455481,1192.0,4,888.4363436343635,4.414535122281238,8.829070244562477,0.608983183242821,0.5604026845637584,0.8170624261676878,0.7518827936139855,0.011320309662145471,0.015721518945060582,0.0030259654172932705,83.24032452578535,74.12600102041657
Zr47Al7Cu46,3.0,inoue,705.0,5,833.0563883668367,13.732948549957435,30.707806489211997,1163.0,5,961.2421242124212,2.8569911442032327,6.3884264095533325,0.7162995600746661,0.6061908856405847,0.8666457361607913,0.7334260351705151,0.011808210275113874,0.014517019027538687,0.002128976090604361,90.17375311441371,71.54512014208947
Zr48Al7Cu45,5.0,inoue,703.0,4,807.7697407215722,17.346660256238035,34.69332051247607,1197.0,4,968.5293529352934,6.040081600082433,12.080163200164867,0.6748285219060753,0.5873015873015873,0.8340167887255954,0.725842740717603,0.01449177966268842,0.018650249772621356,0.004208462372382044,85.61111949847509,70.4847183544089
Zr9Cu9Ag2,6.0,inoue,683.0,5,736.0053669646965,21.763961206652212,48.66569671774269,1159.0,5,864.1044104410444,4.747205595593417,10.615074414914258,0.6350348291326112,0.5893011216566005,0.8517551329115827,0.7904137413803878,0.01877822364680949,0.025617720420457974,0.003488746102703434,88.09154169520137,79.513934476809
ZrCu,2.0,inoue,678.0,5,725.4319150875089,16.993080165063752,37.9976823961859,1222.5,5,895.1155115511552,5.9910553485934805,13.396407016418722,0.5934003395398846,0.554601226993865,0.8104338554366018,0.7574441412875156,0.013900270073671782,0.019743956669423992,0.003971659782654143,82.31342549836971,74.90366606448721
