tg/t*,m
0.7715596330275231,82.53275887276583
0.7626146788990824,80.74289995979386
0.7791284403669725,62.51032566979788
0.6518348623853212,61.8553766585036
0.6339449541284403,57.77765086443219
0.6311926605504588,52.6988833656201
0.6119266055045871,52.70527979823824
0.5754587155963302,51.123761833400344
0.6236238532110092,47.721316568588044
0.6284403669724771,45.827287181549046
0.5802752293577982,47.237700573851384
0.5837155963302751,47.93376950911949
0.5775229357798165,39.76849482802735
0.483256880733945,37.11054863116342
0.3360091743119266,22.81680616981615
0.7616341030195383,86.39760977732817
0.6863232682060391,90.4536953171868
0.6678507992895204,72.42821686095067
0.6522202486678508,63.27879265524096
0.6344582593250445,58.23391716560997
0.6323268206039077,50.15303541811252
0.6223801065719361,48.29214355451519
0.5847246891651865,47.472504205239204
0.5825932504440499,48.398244974298045
0.469626998223801,35.078399774152196
0.33676731793960923,21.083128462705687
