tg/t*,m
0.771559633027523, 82.53275887276583
0.7626146788990824, 80.74289995979386
0.7791284403669725, 62.51032566979788
0.6518348623853212, 61.8553766585036
0.6339449541284403, 57.77765086443219
0.6311926605504588, 52.69888336562009
0.6119266055045871, 52.705279798238244
0.5754587155963302, 51.123761833400344
0.6236238532110092, 47.721316568588044
0.628440366972477, 45.82728718154904
0.5802752293577982, 47.237700573851384
0.5837155963302751, 47.933769509119486
0.5775229357798165, 39.76849482802735
0.48325688073394496, 37.11054863116342
0.3360091743119266, 22.816806169816147
