composition,dmax,source,tg_exp,tg_md_count,tg_md_mean,tg_md_sem,tg_md_std,tl,tstar_count,tstar_mean,tstar_sem,tstar_std,tg_md_mean/tl,tg_exp/tl,tg_md_mean/tstar_mean,tg_exp/tstar_mean,tg_md_mean/tl_err,tg_md_mean/tstar_mean_err,tg_exp/tstar_mean_err
Ni4P,0.12,johnson,581.0,5,567.2202661126114,26.68408891846262,59.667436739331265,1161.0,5,723.978397839784,6.15221224963963,13.75676480220112,0.48856181405048354,0.5004306632213609,0.7834767830160272,0.8025101325310192,0.022983711385411387,0.037454071095813,0.004151692904202802
Zr5AlCu4,22.0,johnson,706.0,5,786.1007979477948,9.285194187899865,20.762325388430053,1123.0,5,980.3960396039605,6.059312393843475,13.54903440954099,0.7000007105501289,0.628673196794301,0.8018196383834303,0.7201171480508988,0.008268204975868089,0.01068903290748723,0.004326336306753172
ZrCu,2.5,johnson,673.0,5,675.4319150875089,16.993080165063745,37.99768239618588,1208.0,5,895.1155115511552,5.99105534859348,13.39640701641872,0.5591323800393285,0.5571192052980133,0.7545751429522718,0.7518582700390826,0.014067119341940186,0.01964453365600653,0.0037423025216058755
Nb2Ni3,1.0,inoue,891.0,5,1067.8885125932593,20.074572974580832,44.8881097904429,1478.0,5,1300.4640464046406,6.380395558458879,14.266998192051787,0.7225226742850198,0.6028416779431665,0.8211595818781943,0.6851400486336586,0.013582255057226544,0.015953554102970325,0.0035448734431675105
Zr25Cu24Ag,2.0,inoue,668.0,4,675.9079544254427,13.493809117277404,26.98761823455481,1192.0,4,888.4363436343635,4.414535122281238,8.829070244562477,0.5670368745179888,0.5604026845637584,0.7607837739510721,0.7518827936139855,0.011320309662145473,0.01565163659932485,0.002817539169940166
Zr47Al7Cu46,3.0,inoue,705.0,5,783.0563883668367,13.732948549957435,30.707806489211993,1163.0,5,961.2421242124213,2.8569911442032327,6.388426409553333,0.6733072986817169,0.6061908856405847,0.8146297052976342,0.7334260351705151,0.011808210275113876,0.014490386069892391,0.0020011950591919438
Zr48Al7Cu45,5.0,inoue,703.0,4,757.7697407215722,17.346660256238035,34.69332051247607,1197.0,4,968.5293529352934,6.040081600082434,12.080163200164868,0.633057427503402,0.5873015873015873,0.7823921272236322,0.725842740717603,0.014491779662688416,0.018563038938721854,0.003947963485123488
Zr9Cu9Ag2,6.0,inoue,683.0,5,686.0053669646965,21.76396120665221,48.66569671774269,1159.0,5,864.1044104410443,4.747205595593417,10.615074414914258,0.5918941906511618,0.5893011216566005,0.7938917550652879,0.7904137413803878,0.018778223646809502,0.02556156523658093,0.0032517406229002704
ZrCu,2.0,inoue,678.0,5,675.4319150875089,16.993080165063745,37.99768239618588,1222.5,5,895.1155115511552,5.99105534859348,13.39640701641872,0.5525005440388621,0.554601226993865,0.7545751429522718,0.7574441412875156,0.013900270073671775,0.01964453365600653,0.0036979152933332496
