run,temp,visc
viscosity_Ni300Nb200_dT50K_1/run/step_5,1750.0,0.00766893
viscosity_Ni300Nb200_dT50K_1/run/step_11,1450.0,0.0266055
viscosity_Ni300Nb200_dT50K_1/run/step_14,1300.0,0.0924384
viscosity_Ni300Nb200_dT50K_1/run/step_37,150.0,29.1074
viscosity_Ni300Nb200_dT50K_1/run/step_20,1000.0,3.14832
viscosity_Ni300Nb200_dT50K_1/run/step_21,950.0,3.69919
viscosity_Ni300Nb200_dT50K_1/run/step_19,1050.0,3.05561
viscosity_Ni300Nb200_dT50K_1/run/step_38,100.0,44.0543
viscosity_Ni300Nb200_dT50K_1/run/step_27,650.0,7.45017
viscosity_Ni300Nb200_dT50K_1/run/step_31,450.0,8.71692
viscosity_Ni300Nb200_dT50K_1/run/step_28,600.0,6.92149
viscosity_Ni300Nb200_dT50K_1/run/step_10,1500.0,0.0208082
viscosity_Ni300Nb200_dT50K_1/run/step_23,850.0,3.1157
viscosity_Ni300Nb200_dT50K_1/run/step_9,1550.0,0.0179836
viscosity_Ni300Nb200_dT50K_1/run/step_34,300.0,16.1354
viscosity_Ni300Nb200_dT50K_1/run/step_8,1600.0,0.0140741
viscosity_Ni300Nb200_dT50K_1/run/step_12,1400.0,0.040863
viscosity_Ni300Nb200_dT50K_1/run/step_25,750.0,4.80087
viscosity_Ni300Nb200_dT50K_1/run/step_32,400.0,9.92185
viscosity_Ni300Nb200_dT50K_1/run/step_18,1100.0,1.12114
viscosity_Ni300Nb200_dT50K_1/run/step_16,1200.0,0.245661
viscosity_Ni300Nb200_dT50K_1/run/step_36,200.0,21.5446
viscosity_Ni300Nb200_dT50K_1/run/step_35,250.0,16.8598
viscosity_Ni300Nb200_dT50K_1/run/step_26,700.0,9.01763
viscosity_Ni300Nb200_dT50K_1/run/step_0,2000.0,0.00560833
viscosity_Ni300Nb200_dT50K_1/run/step_2,1900.0,0.00530609
viscosity_Ni300Nb200_dT50K_1/run/step_15,1250.0,0.127436
viscosity_Ni300Nb200_dT50K_1/run/step_4,1800.0,0.00845665
viscosity_Ni300Nb200_dT50K_1/run/step_33,350.0,13.7034
viscosity_Ni300Nb200_dT50K_1/run/step_17,1150.0,1.02794
viscosity_Ni300Nb200_dT50K_1/run/step_24,800.0,8.62808
viscosity_Ni300Nb200_dT50K_1/run/step_6,1700.0,0.00981401
viscosity_Ni300Nb200_dT50K_1/run/step_3,1850.0,0.00632538
viscosity_Ni300Nb200_dT50K_1/run/step_22,900.0,3.41931
viscosity_Zr400Cu100_dT50K_1/run/step_7,1650.0,0.00335774
viscosity_Zr400Cu100_dT50K_1/run/step_1,1950.0,0.00294067
viscosity_Zr400Cu100_dT50K_1/run/step_29,550.0,2.30185
viscosity_Zr400Cu100_dT50K_1/run/step_30,500.0,3.4521
viscosity_Zr400Cu100_dT50K_1/run/step_13,1350.0,0.0062694
viscosity_Zr400Cu100_dT50K_1/run/step_5,1750.0,0.00356706
viscosity_Zr400Cu100_dT50K_1/run/step_11,1450.0,0.00496602
viscosity_Zr400Cu100_dT50K_1/run/step_14,1300.0,0.00786372
viscosity_Zr400Cu100_dT50K_1/run/step_37,150.0,18.3461
viscosity_Zr400Cu100_dT50K_1/run/step_20,1000.0,0.033159
viscosity_Zr400Cu100_dT50K_1/run/step_21,950.0,0.0554228
viscosity_Zr400Cu100_dT50K_1/run/step_19,1050.0,0.0222952
viscosity_Zr400Cu100_dT50K_1/run/step_38,100.0,28.7349
viscosity_Zr400Cu100_dT50K_1/run/step_27,650.0,3.17693
viscosity_Zr400Cu100_dT50K_1/run/step_31,450.0,4.22184
viscosity_Zr400Cu100_dT50K_1/run/step_28,600.0,0.547967
viscosity_Zr400Cu100_dT50K_1/run/step_10,1500.0,0.00537995
viscosity_Zr400Cu100_dT50K_1/run/step_23,850.0,0.439279
viscosity_Zr400Cu100_dT50K_1/run/step_9,1550.0,0.00374427
viscosity_Zr400Cu100_dT50K_1/run/step_34,300.0,7.88603
viscosity_Zr400Cu100_dT50K_1/run/step_8,1600.0,0.00446493
viscosity_Zr400Cu100_dT50K_1/run/step_12,1400.0,0.00656648
viscosity_Zr400Cu100_dT50K_1/run/step_25,750.0,0.624361
