job,visc,tg,tstar
viscosity_Al0Cu200Zr300_dT50K_0,0.07490470277790055,702.6456256525653,884.3984398439844
viscosity_Al0Cu200Zr300_dT50K_1,0.07485215907810767,726.093110141014,886.868686868687
viscosity_Al0Cu200Zr300_dT50K_2,0.07475552504173986,747.5259537553758,885.7285728572857
viscosity_Al0Cu200Zr300_dT50K_3,0.07493634165118689,706.782080888089,858.5558555855586
viscosity_Al0Cu200Zr300_dT50K_4,0.0749502158279729,668.4349034903493,887.6287628762876
viscosity_Al35Cu225Zr240_dT50K_0,0.0749544067003235,841.1241006800681,957.3657365736574
viscosity_Al35Cu225Zr240_dT50K_2,0.07493859313807616,822.7801453145322,961.3561356135614
viscosity_Al35Cu225Zr240_dT50K_3,0.07492223448862302,760.0982262226221,970.8570857085709
viscosity_Al35Cu225Zr240_dT50K_4,0.07490208245670607,807.0764906690665,984.5384538453845
viscosity_Al35Cu230Zr235_dT50K_0,0.074918728739268,815.1308783078308,966.4866486648665
viscosity_Al35Cu230Zr235_dT50K_1,0.07486007972236831,842.1229785578557,952.6152615261526
viscosity_Al35Cu230Zr235_dT50K_2,0.0748937428125584,796.0652647564757,964.7764776477649
viscosity_Al35Cu230Zr235_dT50K_3,0.07481554466632204,834.1996048604863,956.2256225622563
viscosity_Al35Cu230Zr235_dT50K_4,0.07494702903844498,877.7632153515355,966.1066106610662
viscosity_Cu225Zr225Ag50_dT50K_0,0.07484308174428436,748.1580486348637,864.6364636463646
viscosity_Cu225Zr225Ag50_dT50K_1,0.07477660299786415,754.9671963996399,873.5673567356736
viscosity_Cu225Zr225Ag50_dT50K_2,0.07492197809268057,651.0856661766175,868.8168816881688
viscosity_Cu225Zr225Ag50_dT50K_3,0.07487694265313662,775.3036606660668,867.4867486748675
viscosity_Cu225Zr225Ag50_dT50K_4,0.07479042207191991,750.5122629462945,846.0146014601461
viscosity_Cu250Zr250_dT50K_0,0.07487491429259743,687.4008608360837,882.1182118211822
viscosity_Cu250Zr250_dT50K_1,0.07482245109985351,701.6460627262725,886.4886488648865
viscosity_Cu250Zr250_dT50K_2,0.07498360621626513,761.8039632563257,916.891689168917
viscosity_Cu250Zr250_dT50K_3,0.07498270288525485,705.6234258525856,894.6594659465947
viscosity_Cu250Zr250_dT50K_4,0.07467845447281357,770.6852627662771,895.4195419541954
viscosity_Ni300Nb200_dT50K_0,0.0746435168914215,1095.9323303830383,1287.9987998799882
viscosity_Ni300Nb200_dT50K_1,0.07499690459848952,1197.9657155315526,1322.012201220122
viscosity_Ni300Nb200_dT50K_2,0.0746435168914215,1095.9323303830383,1287.9987998799882
viscosity_Ni300Nb200_dT50K_3,0.07482557628571765,1095.9775476047605,1298.069806980698
viscosity_Ni300Nb200_dT50K_4,0.0749557929479373,1103.6346390639071,1306.2406240624064
viscosity_Ni400P100_dT50K_0,0.07473432943210255,566.4120976897693,734.2834283428343
viscosity_Ni400P100_dT50K_1,0.07489792038557327,613.9242418241827,728.5528552855285
viscosity_Ni400P100_dT50K_2,0.07480789680219702,556.3315977897788,730.4830483048305
viscosity_Ni400P100_dT50K_3,0.07438462515341648,700.498175437544,699.8899889988999
viscosity_Ni400P100_dT50K_4,0.07491284997201109,648.9352178217819,726.6826682668267
viscosity_Zr250Cu200Al50_dT50K_0,0.07498860030855557,855.7292688768878,969.1469146914692
viscosity_Zr250Cu200Al50_dT50K_1,0.07490418442342844,846.1678459045908,1000.1200120012002
viscosity_Zr250Cu200Al50_dT50K_2,0.07499892157882022,803.1210334233424,968.956895689569
viscosity_Zr250Cu200Al50_dT50K_3,0.07488792068179592,846.2463404840483,975.4175417541754
viscosity_Zr250Cu200Al50_dT50K_4,0.07496173829232425,829.239501050105,988.3388338833884
viscosity_Zr250Cu240Ag10_dT50K_0,0.07470836779154638,751.9886253025305,880.0280028002801
viscosity_Zr250Cu240Ag10_dT50K_1,0.07486494273321792,700.6164347934794,888.7688768876887
viscosity_Zr250Cu240Ag10_dT50K_2,0.07491153791033558,746.3078597459747,900.5500550055006
viscosity_Zr250Cu240Ag10_dT50K_3,0.07487083379362686,704.7188978597861,884.3984398439844
viscosity_Zr300Cu150Al50_dT50K_0,0.0749825243567623,808.0061909690968,977.887788778878
viscosity_Zr300Cu150Al50_dT50K_1,0.07490932727850207,754.9271104110408,972.1872187218722
viscosity_Zr300Cu150Al50_dT50K_2,0.0748354830282988,748.4164612461245,968.956895689569
viscosity_Zr300Cu150Al50_dT50K_3,0.07499208529127864,866.3961670867088,971.6171617161716
viscosity_Zr300Cu150Al50_dT50K_4,0.07492109018127552,860.437647484748,989.4789478947895
viscosity_Zr400Cu100_dT50K_0,0.07494995058850429,778.4898474347438,933.9933993399341
viscosity_Zr400Cu100_dT50K_1,0.07495345954888642,797.7313632063202,913.2813281328133
viscosity_Zr400Cu100_dT50K_2,0.07494425443806749,806.9622225622558,948.8148814881489
viscosity_Zr400Cu100_dT50K_3,0.0749833943973368,793.3297226322635,928.6728672867287
viscosity_Zr400Cu100_dT50K_4,0.07487786688634707,802.4212521952201,943.4943494349435
