run,temperature,diffusion
../jobs/viscosity_Ni400P100_dT50K_3/run/step_3/traj_nvt.lammpstrj,1850.0,0.6706805819738223
../jobs/viscosity_Zr250Cu200Al50_dT50K_0/run/step_6/traj_nvt.lammpstrj,1700.0,0.3775175111409758
../jobs/viscosity_Al35Cu225Zr240_dT50K_3/run/step_18/traj_nvt.lammpstrj,1100.0,0.06419193430244499
../jobs/viscosity_Cu225Zr225Ag50_dT50K_3/run/step_13/traj_nvt.lammpstrj,1350.0,0.24566731003396355
../jobs/viscosity_Al35Cu225Zr240_dT50K_2/run/step_32/traj_nvt.lammpstrj,400.0,2.956401652552411e-07
../jobs/viscosity_Zr400Cu100_dT50K_2/run/step_3/traj_nvt.lammpstrj,1850.0,0.4864224627495979
../jobs/viscosity_Cu250Zr250_dT50K_2/run/step_18/traj_nvt.lammpstrj,1100.0,0.088895621136916
../jobs/viscosity_Zr300Cu150Al50_dT50K_1/run/step_14/traj_nvt.lammpstrj,1300.0,0.13932928475497716
../jobs/viscosity_Al35Cu230Zr235_dT50K_1/run/step_25/traj_nvt.lammpstrj,750.0,0.0002722465502976933
../jobs/viscosity_Ni300Nb200_dT50K_3/run/step_11/traj_nvt.lammpstrj,1450.0,0.0668631933979653
../jobs/viscosity_Zr400Cu100_dT50K_3/run/step_12/traj_nvt.lammpstrj,1400.0,0.17127028522492638
../jobs/viscosity_Al0Cu200Zr300_dT50K_0/run/step_25/traj_nvt.lammpstrj,750.0,0.0011571408844700214
../jobs/viscosity_Zr400Cu100_dT50K_1/run/step_2/traj_nvt.lammpstrj,1900.0,0.510360379866053
../jobs/viscosity_Zr300Cu150Al50_dT50K_4/run/step_21/traj_nvt.lammpstrj,950.0,0.011674089835605618
../jobs/viscosity_Al0Cu200Zr300_dT50K_2/run/step_32/traj_nvt.lammpstrj,400.0,6.709764828853455e-08
../jobs/viscosity_Al35Cu230Zr235_dT50K_3/run/step_12/traj_nvt.lammpstrj,1400.0,0.23001185270285654
../jobs/viscosity_Zr400Cu100_dT50K_0/run/step_16/traj_nvt.lammpstrj,1200.0,0.10124105030879534
../jobs/viscosity_Ni300Nb200_dT50K_1/run/step_0/traj_nvt.lammpstrj,2000.0,0.31400038931781854
../jobs/viscosity_Al35Cu225Zr240_dT50K_2/run/step_37/traj_nvt.lammpstrj,150.0,2.956522932115493e-08
../jobs/viscosity_Al35Cu230Zr235_dT50K_3/run/step_4/traj_nvt.lammpstrj,1800.0,0.4989100481836102
../jobs/viscosity_Ni300Nb200_dT50K_1/run/step_24/traj_nvt.lammpstrj,800.0,6.832786977425604e-06
../jobs/viscosity_Cu225Zr225Ag50_dT50K_1/run/step_22/traj_nvt.lammpstrj,900.0,0.02339376032761087
../jobs/viscosity_Al35Cu230Zr235_dT50K_3/run/step_25/traj_nvt.lammpstrj,750.0,0.0001850592916278265
../jobs/viscosity_Al35Cu225Zr240_dT50K_4/run/step_5/traj_nvt.lammpstrj,1750.0,0.4499551479516913
../jobs/viscosity_Zr400Cu100_dT50K_0/run/step_28/traj_nvt.lammpstrj,600.0,1.8956701771348394e-06
../jobs/viscosity_Al0Cu200Zr300_dT50K_0/run/step_14/traj_nvt.lammpstrj,1300.0,0.1928492063990487
../jobs/viscosity_Al35Cu225Zr240_dT50K_4/run/step_29/traj_nvt.lammpstrj,550.0,3.870895934426241e-06
../jobs/viscosity_Al35Cu230Zr235_dT50K_2/run/step_5/traj_nvt.lammpstrj,1750.0,0.4557043961360816
../jobs/viscosity_Zr400Cu100_dT50K_2/run/step_25/traj_nvt.lammpstrj,750.0,0.00020515822106202162
../jobs/viscosity_Zr250Cu200Al50_dT50K_3/run/step_23/traj_nvt.lammpstrj,850.0,0.0009444095058046802
../jobs/viscosity_Ni300Nb200_dT50K_2/run/step_26/traj_nvt.lammpstrj,700.0,7.68050456057164e-06
../jobs/viscosity_Zr400Cu100_dT50K_4/run/step_35/traj_nvt.lammpstrj,250.0,-4.5297711326460466e-07
../jobs/viscosity_Al35Cu225Zr240_dT50K_4/run/step_7/traj_nvt.lammpstrj,1650.0,0.41957233851080716
../jobs/viscosity_Zr300Cu150Al50_dT50K_1/run/step_2/traj_nvt.lammpstrj,1900.0,0.5631681634678523
../jobs/viscosity_Ni300Nb200_dT50K_0/run/step_10/traj_nvt.lammpstrj,1500.0,0.0789276105286154
../jobs/viscosity_Al0Cu200Zr300_dT50K_0/run/step_23/traj_nvt.lammpstrj,850.0,0.01180824733250096
../jobs/viscosity_Zr400Cu100_dT50K_1/run/step_35/traj_nvt.lammpstrj,250.0,3.6462659609754416e-08
../jobs/viscosity_Al35Cu225Zr240_dT50K_0/run/step_28/traj_nvt.lammpstrj,600.0,3.669659426446116e-06
../jobs/viscosity_Zr250Cu200Al50_dT50K_1/run/step_31/traj_nvt.lammpstrj,450.0,1.5329738452898632e-06
../jobs/viscosity_Al35Cu225Zr240_dT50K_0/run/step_15/traj_nvt.lammpstrj,1250.0,0.12495623345079056
../jobs/viscosity_Al35Cu230Zr235_dT50K_4/run/step_35/traj_nvt.lammpstrj,250.0,1.81458144768604e-07
../jobs/viscosity_Cu250Zr250_dT50K_2/run/step_35/traj_nvt.lammpstrj,250.0,4.134759226687752e-08
../jobs/viscosity_Zr400Cu100_dT50K_0/run/step_18/traj_nvt.lammpstrj,1100.0,0.05933192579918856
../jobs/viscosity_Cu250Zr250_dT50K_2/run/step_37/traj_nvt.lammpstrj,150.0,5.8655074968995384e-08
../jobs/viscosity_Cu225Zr225Ag50_dT50K_3/run/step_17/traj_nvt.lammpstrj,1150.0,0.10685719768768293
../jobs/viscosity_Al0Cu200Zr300_dT50K_3/run/step_31/traj_nvt.lammpstrj,450.0,8.562185174309691e-07
../jobs/viscosity_Cu250Zr250_dT50K_3/run/step_17/traj_nvt.lammpstrj,1150.0,0.1174759182748944
../jobs/viscosity_Zr250Cu200Al50_dT50K_4/run/step_15/traj_nvt.lammpstrj,1250.0,0.1336729318582551
../jobs/viscosity_Zr400Cu100_dT50K_3/run/step_35/traj_nvt.lammpstrj,250.0,6.116141084514218e-07
../jobs/viscosity_Cu225Zr225Ag50_dT50K_3/run/step_34/traj_nvt.lammpstrj,300.0,5.4200586478717714e-08
../jobs/viscosity_Al0Cu200Zr300_dT50K_4/run/step_8/traj_nvt.lammpstrj,1600.0,0.3482642833898597
../jobs/viscosity_Zr300Cu150Al50_dT50K_1/run/step_29/traj_nvt.lammpstrj,550.0,9.583525397669524e-07
../jobs/viscosity_Ni400P100_dT50K_1/run/step_2/traj_nvt.lammpstrj,1900.0,0.7956013518857801
../jobs/viscosity_Zr250Cu240Ag10_dT50K_2/run/step_16/traj_nvt.lammpstrj,1200.0,0.14709961807221875
../jobs/viscosity_Al35Cu225Zr240_dT50K_3/run/step_36/traj_nvt.lammpstrj,200.0,4.413658449065131e-08
../jobs/viscosity_Zr250Cu200Al50_dT50K_4/run/step_0/traj_nvt.lammpstrj,2000.0,0.737557971004749
../jobs/viscosity_Cu225Zr225Ag50_dT50K_4/run/step_1/traj_nvt.lammpstrj,1950.0,0.5997126362950383
../jobs/viscosity_Al0Cu200Zr300_dT50K_3/run/step_24/traj_nvt.lammpstrj,800.0,0.004271873774509974
../jobs/viscosity_Zr250Cu200Al50_dT50K_1/run/step_29/traj_nvt.lammpstrj,550.0,3.2388099907967745e-06
